national_inv,lead_time,sales_1_month,pieces_past_due,perf_6_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
6546,8.0,1521,0,1.0,600,No,No,No,Yes,No
2,8.0,0,0,0.99,0,No,No,No,Yes,No
99,12.0,0,0,0.95,0,No,No,No,Yes,No
134,8.0,9,0,0.95,0,No,No,Yes,Yes,No
5,2.0,0,0,0.42,0,Yes,No,No,Yes,No
0,12.0,0,0,0.94,0,No,No,No,Yes,No
22,8.0,0,0,0.78,0,No,No,No,Yes,No
897,2.0,185,0,1.0,0,No,No,No,Yes,No
780,8.0,105,0,0.69,0,No,No,No,Yes,No
13,8.0,3,0,0.98,0,No,No,No,Yes,No
4,2.0,0,0,0.82,0,Yes,No,No,Yes,No
0,,0,0,-99.0,0,No,No,No,Yes,No
9,8.0,0,0,0.56,0,No,No,No,Yes,No
106,8.0,0,0,0.27,0,No,No,No,Yes,No
44,10.0,15,0,-99.0,0,No,No,No,Yes,No
7,12.0,0,0,0.73,0,No,No,No,Yes,No
364,8.0,43,0,0.99,0,No,No,No,Yes,No
550,8.0,35,0,0.93,0,No,No,No,Yes,No
200,2.0,0,0,1.0,0,No,No,No,Yes,No
1,8.0,0,0,0.84,0,No,No,No,Yes,No
313,8.0,79,0,0.99,0,No,No,No,Yes,No
25,2.0,69,0,0.97,14,No,No,No,Yes,No
10,2.0,0,0,0.97,0,Yes,No,No,Yes,No
1,8.0,0,0,0.85,0,Yes,No,Yes,Yes,No
16,2.0,8,0,1.0,0,No,No,No,Yes,No
25,8.0,5,0,0.99,0,No,No,No,Yes,No
0,2.0,0,0,0.04,0,No,No,No,Yes,No
98,2.0,0,0,0.84,0,No,No,No,Yes,No
0,2.0,0,0,0.99,0,Yes,No,No,Yes,No
502,8.0,0,0,0.97,0,No,No,No,Yes,No
706,8.0,491,0,0.99,0,No,No,No,Yes,No
4,8.0,0,0,0.98,0,No,No,No,Yes,No
1,8.0,0,0,0.79,0,No,No,No,Yes,No
237,8.0,2,0,0.06,0,No,No,No,Yes,No
7,4.0,1,0,0.73,0,No,No,No,Yes,No
59,8.0,0,0,0.87,0,Yes,No,Yes,Yes,No
12,9.0,1,0,0.99,0,No,No,No,Yes,No
900,8.0,0,0,0.94,0,No,No,Yes,Yes,No
2,,0,0,-99.0,0,Yes,No,No,Yes,No
676,52.0,0,0,-99.0,0,Yes,No,No,No,No
18,4.0,0,0,0.94,0,Yes,No,No,Yes,No
19,4.0,0,0,0.98,0,No,No,No,Yes,No
856,8.0,224,0,0.99,0,No,No,No,Yes,No
500,2.0,0,0,0.68,0,No,No,No,Yes,No
2,12.0,0,0,0.82,0,No,No,No,Yes,No
207,8.0,172,0,0.99,0,No,No,No,Yes,No
15,8.0,0,0,0.66,0,No,No,No,Yes,No
322,8.0,123,0,1.0,0,No,No,No,Yes,No
4,8.0,0,0,1.0,0,No,No,No,Yes,No
0,8.0,0,0,0.99,0,No,No,No,Yes,No
1,8.0,0,0,0.82,0,No,No,No,Yes,No
49,8.0,2,0,0.69,0,No,No,No,Yes,No
-22,8.0,140,48,0.53,25,No,No,Yes,Yes,No
0,2.0,0,0,0.59,0,No,No,No,Yes,No
1,52.0,3,0,0.61,0,Yes,No,No,Yes,No
13,8.0,1,0,0.37,0,No,No,No,Yes,No
13,12.0,0,0,0.0,0,No,No,No,Yes,No
327,8.0,1,0,0.95,0,Yes,No,No,Yes,No
0,8.0,0,0,0.37,0,No,No,No,Yes,No
109,8.0,24,0,0.76,0,No,No,No,Yes,No
1,2.0,10,0,0.82,0,No,No,No,Yes,No
595,8.0,0,0,0.97,0,Yes,No,No,Yes,No
25,3.0,5,0,0.94,0,Yes,No,No,Yes,No
399,8.0,1,0,0.99,0,No,No,No,Yes,No
670,9.0,0,0,0.91,0,No,No,No,Yes,No
119,28.0,20,0,1.0,0,No,No,No,Yes,No
76,8.0,14,0,0.99,0,No,No,No,Yes,No
223,8.0,146,40,0.82,0,No,No,No,Yes,No
132,8.0,29,0,0.98,0,No,No,No,Yes,No
2057,,3479,0,-99.0,0,No,No,No,No,No
0,,0,0,-99.0,0,No,No,No,Yes,No
1145,12.0,241,0,0.94,0,No,No,No,Yes,No
21,12.0,0,0,0.76,0,No,No,No,Yes,No
2,9.0,0,0,0.69,0,No,No,No,Yes,No
67,52.0,0,0,0.0,0,Yes,No,No,No,No
111,8.0,11,0,0.96,0,No,No,No,Yes,No
14,2.0,2,0,0.81,0,Yes,No,No,Yes,No
2,12.0,0,0,0.38,0,No,No,No,Yes,No
6,8.0,9,0,0.95,0,No,No,Yes,Yes,No
5,8.0,1,0,0.97,0,No,No,No,Yes,No
0,3.0,0,0,0.48,0,No,No,No,Yes,No
7,8.0,0,0,0.82,0,No,No,No,Yes,No
33,8.0,16,0,0.83,0,No,No,No,Yes,No
3,8.0,2,0,1.0,0,No,No,No,Yes,No
271,8.0,0,0,0.5,0,No,No,No,Yes,No
170,4.0,13,0,0.73,0,No,No,Yes,Yes,No
21,8.0,6,0,0.98,0,No,No,No,Yes,No
12,2.0,0,0,0.89,0,Yes,No,No,Yes,No
23,8.0,2,0,0.95,0,No,No,No,Yes,No
301,8.0,0,0,-99.0,0,No,No,No,Yes,No
190,8.0,0,0,0.99,0,Yes,No,No,Yes,No
7500,16.0,0,0,0.15,0,No,No,Yes,Yes,No
1421,16.0,7,0,0.71,0,Yes,No,Yes,Yes,No
2,52.0,1,0,0.93,0,Yes,No,No,Yes,No
84676,2.0,3080,0,0.8,0,No,No,No,Yes,No
6,8.0,0,0,0.86,0,No,No,No,Yes,No
8,8.0,0,0,0.94,0,No,No,No,Yes,No
15,9.0,0,0,0.98,0,No,No,No,Yes,No
5,2.0,0,0,0.99,0,Yes,No,No,Yes,No
229,8.0,0,0,0.37,0,No,No,No,Yes,No
10,8.0,4,0,0.66,0,No,No,No,Yes,No
16,2.0,0,0,1.0,0,Yes,No,No,Yes,No
0,4.0,0,0,0.73,0,No,No,No,Yes,No
2,9.0,0,0,0.68,0,No,No,No,Yes,No
172,2.0,48,0,0.78,0,No,No,No,Yes,No
11,9.0,0,0,0.91,0,Yes,No,No,Yes,No
10,6.0,4,0,0.78,0,No,No,No,Yes,No
18,,1,0,-99.0,0,Yes,No,No,Yes,No
15,4.0,17,0,0.73,0,No,No,No,Yes,No
15,8.0,2,0,1.0,0,No,No,No,Yes,No
1,,0,0,-99.0,0,Yes,No,No,Yes,No
0,8.0,0,0,0.37,0,No,No,No,Yes,No
28,8.0,1,0,0.72,0,No,No,Yes,Yes,No
38,,1,0,-99.0,0,Yes,No,Yes,Yes,No
4,2.0,0,0,0.98,0,Yes,No,Yes,Yes,No
2,2.0,7,0,0.96,0,No,No,No,Yes,No
43,8.0,0,0,0.96,0,No,No,No,Yes,No
8,2.0,0,0,0.99,0,No,No,No,Yes,No
14,,0,0,-99.0,0,Yes,No,Yes,Yes,No
1,9.0,0,0,0.69,0,No,No,No,Yes,No
13,12.0,0,0,0.63,0,Yes,No,No,Yes,No
778,4.0,121,0,0.98,0,No,No,No,Yes,No
183,2.0,58,0,1.0,0,No,No,No,Yes,No
3,2.0,0,0,1.0,0,No,No,No,Yes,No
74,,0,0,-99.0,0,No,No,No,Yes,No
0,8.0,6,0,0.75,0,No,No,No,Yes,No
2,12.0,1,0,0.78,0,No,No,No,Yes,No
29,2.0,1,0,0.82,0,No,No,No,Yes,No
0,9.0,2,0,0.85,0,No,No,No,Yes,No
14,9.0,0,0,0.86,0,No,No,No,Yes,No
2,,0,0,-99.0,0,No,No,No,Yes,No
2,8.0,0,0,0.82,0,No,No,No,Yes,No
35,,0,0,-99.0,0,No,No,No,No,No
69,8.0,2,0,0.99,0,No,No,No,Yes,No
0,12.0,0,1,0.66,0,No,No,No,Yes,No
53,8.0,9,0,0.72,0,No,No,Yes,Yes,No
402,2.0,0,0,1.0,0,Yes,No,No,Yes,No
70,2.0,12,0,0.81,0,No,No,No,Yes,No
155,4.0,0,0,0.73,0,No,No,No,Yes,No
3,8.0,1,0,0.0,0,No,No,Yes,Yes,No
0,8.0,0,0,0.97,0,No,No,No,Yes,No
22,6.0,1,0,0.95,0,No,No,No,Yes,No
24,8.0,0,0,0.48,0,No,No,No,Yes,No
768,12.0,77,0,0.75,0,No,No,No,Yes,No
45,9.0,0,0,0.86,0,No,No,Yes,Yes,No
17,8.0,0,0,0.8,0,No,No,No,Yes,No
1,8.0,0,0,0.99,0,No,No,No,Yes,No
3223,8.0,4,0,0.94,0,No,No,No,Yes,No
67026,8.0,8124,0,0.64,0,No,No,No,Yes,No
3,12.0,18,0,0.77,0,No,No,No,Yes,No
3,2.0,11,0,0.0,0,No,No,No,Yes,No
4,8.0,0,0,0.7,0,No,No,No,Yes,No
278,2.0,29,0,0.98,0,No,No,No,Yes,No
32,8.0,82,0,0.99,39,No,No,No,Yes,No
15,8.0,0,0,0.86,0,No,No,No,Yes,No
4,2.0,0,0,0.98,0,No,No,No,Yes,No
2,8.0,0,0,0.82,0,No,No,No,Yes,No
7,8.0,6,0,0.69,0,No,No,No,Yes,No
10,8.0,0,0,1.0,0,No,No,No,Yes,No
4391,,68,0,-99.0,0,Yes,No,No,Yes,No
2,12.0,1,0,0.78,0,No,No,No,Yes,No
108,4.0,6,0,0.73,0,No,No,No,Yes,No
0,2.0,7,0,0.97,0,No,No,No,Yes,No
135,8.0,0,0,0.97,0,No,No,No,Yes,No
12425,8.0,0,0,0.66,0,No,No,No,Yes,No
1257,0.0,0,0,0.0,0,No,No,No,No,No
6,8.0,3,0,0.73,0,No,No,No,Yes,No
31,2.0,0,0,0.88,0,Yes,No,No,Yes,No
235,8.0,95,0,1.0,0,No,No,No,Yes,No
48,8.0,25,0,0.99,0,No,No,No,Yes,No
37,8.0,0,0,0.99,0,No,No,No,Yes,No
11,2.0,0,0,0.33,0,Yes,No,No,Yes,No
157,8.0,0,0,0.88,0,No,No,No,Yes,No
2,8.0,0,0,0.67,0,No,No,No,Yes,No
17,8.0,7,0,0.79,0,No,No,No,Yes,No
6,4.0,0,0,0.22,0,Yes,No,No,Yes,No
2,8.0,0,0,1.0,0,No,No,No,Yes,No
80,8.0,0,0,0.89,0,No,No,No,Yes,No
0,2.0,0,0,0.09,0,No,No,No,Yes,No
13,12.0,0,0,0.58,0,Yes,No,No,Yes,No
6,8.0,0,0,0.98,0,No,No,No,Yes,No
6,8.0,0,0,0.79,0,No,No,No,Yes,No
2,3.0,0,0,0.89,0,No,No,No,Yes,No
6,8.0,4,0,0.95,0,No,No,No,Yes,No
0,2.0,0,0,0.79,0,No,No,Yes,Yes,No
59,8.0,9,0,0.78,0,No,No,No,Yes,No
7,12.0,1,0,0.82,0,No,No,No,Yes,No
21,8.0,2,0,0.82,0,No,No,No,Yes,No
1,9.0,0,0,0.7,0,No,No,No,Yes,No
3,8.0,153,48,0.53,21,No,No,Yes,Yes,No
1,4.0,0,0,0.73,0,No,No,Yes,Yes,No
3,2.0,0,0,0.89,0,Yes,No,No,Yes,No
24,,0,0,-99.0,0,Yes,No,No,Yes,No
3,12.0,0,0,0.78,0,No,No,No,Yes,No
0,2.0,0,0,0.0,0,Yes,No,No,Yes,No
7,8.0,0,0,0.98,0,No,No,No,Yes,No
10,2.0,0,0,0.82,0,Yes,No,No,Yes,No
21,8.0,0,0,0.0,0,Yes,No,No,Yes,No
16,9.0,1,0,0.99,0,No,No,No,Yes,No
5,,0,0,-99.0,0,Yes,No,No,No,No
3,12.0,0,0,0.82,0,No,No,No,Yes,No
15,4.0,4,0,0.73,0,No,No,No,Yes,No
31,2.0,1,0,0.68,0,No,No,No,Yes,No
343,12.0,122,0,0.99,0,No,No,No,Yes,No
3,8.0,0,0,0.67,0,No,No,No,Yes,No
2,12.0,0,0,0.73,0,No,No,Yes,Yes,No
8,8.0,0,0,0.58,0,No,No,No,Yes,No
48,8.0,33,0,0.98,0,No,No,No,Yes,No
0,2.0,6,0,0.9,0,No,No,No,Yes,No
2106,,170,0,-99.0,0,No,No,No,No,No
0,52.0,0,0,0.82,0,Yes,No,Yes,No,No
19,4.0,1,0,0.73,0,No,No,No,Yes,No
4,12.0,0,0,0.57,0,No,No,No,Yes,No
14,2.0,0,0,0.62,0,No,No,No,Yes,No
0,9.0,0,0,0.69,0,No,No,Yes,Yes,No
56,2.0,0,0,1.0,0,Yes,No,No,Yes,No
30,2.0,0,0,0.89,0,No,No,Yes,Yes,No
5,2.0,0,0,0.98,0,No,No,No,Yes,No
5,8.0,0,0,0.94,0,No,No,No,Yes,No
468,14.0,44,0,0.9,0,No,No,No,Yes,No
299,52.0,11,0,0.98,0,Yes,No,No,Yes,No
12,12.0,1,0,0.63,0,No,No,No,Yes,No
0,2.0,0,0,0.12,0,No,No,No,Yes,No
13,12.0,0,0,0.48,0,Yes,No,No,Yes,No
11,4.0,0,0,0.85,0,Yes,No,No,Yes,No
0,8.0,2,0,0.31,0,No,No,Yes,Yes,No
237,4.0,12,0,0.24,0,Yes,No,No,Yes,No
20,8.0,31,0,0.95,0,No,No,No,Yes,No
0,8.0,0,0,0.73,0,No,No,No,Yes,No
5,0.0,1,0,0.0,0,No,No,No,Yes,No
0,2.0,0,0,0.95,0,Yes,No,No,Yes,No
4,12.0,0,0,0.74,0,No,No,Yes,Yes,No
106,4.0,0,0,0.73,0,No,No,No,Yes,No
154,2.0,8,0,1.0,0,No,No,No,Yes,No
13,12.0,0,0,0.48,0,Yes,No,No,Yes,No
12,8.0,0,0,0.51,0,Yes,No,Yes,Yes,No
679,2.0,1,0,-99.0,0,No,No,Yes,Yes,No
16,,0,0,-99.0,0,No,No,Yes,No,No
15190,8.0,0,0,0.99,0,No,No,No,Yes,No
323,8.0,29,0,1.0,0,No,No,Yes,Yes,No
5,14.0,0,0,0.89,0,No,No,No,Yes,No
52,8.0,4,0,0.66,0,No,No,No,Yes,No
67,8.0,0,0,0.77,0,No,No,No,Yes,No
16,8.0,0,0,0.41,0,Yes,No,No,Yes,No
3,8.0,0,0,0.98,0,No,No,No,Yes,No
96,4.0,4,0,0.96,0,No,No,No,Yes,No
0,4.0,0,0,0.22,0,Yes,No,No,Yes,No
0,8.0,0,0,0.91,0,No,No,No,Yes,No
109,8.0,119,0,0.57,0,No,No,No,Yes,No
0,8.0,1,0,0.99,0,No,No,No,Yes,No
0,9.0,0,0,0.7,0,No,No,No,Yes,No
294,2.0,306,0,0.99,2,No,No,No,Yes,No
0,8.0,0,0,0.5,0,Yes,No,Yes,No,No
23,17.0,0,0,0.82,0,No,No,No,Yes,No
1,12.0,1,0,0.57,0,No,No,No,Yes,No
13,6.0,0,0,0.9,0,No,No,No,Yes,No
0,2.0,0,0,1.0,0,Yes,No,Yes,Yes,No
7,8.0,3,0,1.0,0,No,No,No,Yes,No
4,8.0,0,0,0.32,0,No,No,No,Yes,No
5,2.0,0,0,0.83,0,No,No,No,Yes,No
8,8.0,1,0,0.97,0,No,No,No,Yes,No
-1,9.0,7,0,0.68,0,No,No,No,Yes,No
205,,381,0,-99.0,0,No,No,No,No,No
269,8.0,25,0,0.69,0,No,No,No,Yes,No
16,12.0,0,0,0.68,0,No,No,Yes,Yes,No
195,10.0,18,0,0.77,0,No,No,No,Yes,No
243,8.0,7,0,0.95,0,No,No,No,Yes,No
574,8.0,0,0,1.0,0,No,No,No,Yes,No
14,9.0,0,0,0.91,0,Yes,No,No,Yes,No
2,2.0,0,0,0.66,0,No,No,No,Yes,No
9,8.0,1,0,0.97,0,No,No,No,Yes,No
1672,9.0,98,0,0.94,0,No,No,No,Yes,No
6,8.0,0,0,0.95,0,No,No,No,Yes,No
11,2.0,0,0,0.68,0,Yes,No,No,Yes,No
2,12.0,0,0,0.78,0,No,No,Yes,Yes,No
23,2.0,0,0,0.82,0,No,No,No,Yes,No
6,8.0,0,0,0.98,0,No,No,No,Yes,No
386,,0,0,-99.0,0,Yes,No,Yes,Yes,No
31,4.0,0,0,0.22,0,Yes,No,No,Yes,No
0,8.0,101,0,0.94,0,No,No,No,Yes,No
4,8.0,0,0,0.82,0,No,No,No,Yes,No
